adversario;jogos;vitorias;empates;derrotas;gols_marcados;gols_sofridos;aproveitamento
SC Internacional;2;1;1;0;4;2;66,67
EC Vitória;2;2;0;0;10;1;100,00
Grêmio FBPA;2;1;1;0;3;1;66,67
EC Juventude;2;2;0;0;8;0;100,00
CR Vasco da Gama;2;0;2;0;1;1;33,33
SC Corinthians Paulista;2;2;0;0;6;1;100,00
Cruzeiro EC;2;0;1;1;1;2;16,67
EC Bahia;2;1;0;1;1;1;50,00
Botafogo FR;2;1;1;0;3;0;66,67
SE Palmeiras;2;2;0;0;5;2;100,00
Fortaleza EC;2;1;0;1;5;1;50,00
São Paulo FC;2;1;1;0;4;2;66,67
Santos FC;2;1;0;1;3;3;50,00
Fluminense FC;2;1;0;1;2;2;50,00
RB Bragantino;2;2;0;0;5;1;100,00
CA Mineiro;2;1;1;0;2;1;66,67
Ceará SC;2;1;1;0;2;1;66,67
Mirassol FC;2;1;1;0;5;4;66,67
SC Recife;2;2;0;0;8;1;100,00
