match_id;data_jogo;local;adversario;gols_flamengo;gols_adversario;resultado
534935;2025-03-30;Casa;SC Internacional;1;1;Empate
534952;2025-04-06;Fora;EC Vitória;2;1;Vitória
534961;2025-04-13;Fora;Grêmio FBPA;2;0;Vitória
534965;2025-04-17;Casa;EC Juventude;6;0;Vitória
534976;2025-04-19;Fora;CR Vasco da Gama;0;0;Empate
534985;2025-04-27;Casa;SC Corinthians Paulista;4;0;Vitória
535000;2025-05-04;Fora;Cruzeiro EC;1;2;Derrota
535005;2025-05-11;Casa;EC Bahia;1;0;Vitória
535015;2025-05-18;Casa;Botafogo FR;0;0;Empate
535027;2025-05-25;Fora;SE Palmeiras;2;0;Vitória
535035;2025-06-01;Casa;Fortaleza EC;5;0;Vitória
535055;2025-07-12;Casa;São Paulo FC;2;0;Vitória
535068;2025-07-16;Fora;Santos FC;0;1;Derrota
535075;2025-07-20;Casa;Fluminense FC;1;0;Vitória
535089;2025-07-24;Fora;RB Bragantino;2;1;Vitória
535095;2025-07-27;Casa;CA Mineiro;1;0;Vitória
535113;2025-08-03;Fora;Ceará SC;1;1;Empate
535115;2025-08-09;Casa;Mirassol FC;2;1;Vitória
535131;2025-08-17;Fora;SC Internacional;3;1;Vitória
535135;2025-08-26;Casa;EC Vitória;8;0;Vitória
535145;2025-08-31;Casa;Grêmio FBPA;1;1;Empate
535164;2025-09-14;Fora;EC Juventude;2;0;Vitória
535165;2025-09-21;Casa;CR Vasco da Gama;1;1;Empate
535177;2025-09-28;Fora;SC Corinthians Paulista;2;1;Vitória
535185;2025-10-02;Casa;Cruzeiro EC;0;0;Empate
535202;2025-10-05;Fora;EC Bahia;0;1;Derrota
535206;2025-10-15;Fora;Botafogo FR;3;0;Vitória
535215;2025-10-19;Casa;SE Palmeiras;3;2;Vitória
535233;2025-10-25;Fora;Fortaleza EC;0;1;Derrota
535235;2025-11-02;Casa;SC Recife;3;0;Vitória
535248;2025-11-06;Fora;São Paulo FC;2;2;Empate
535255;2025-11-09;Casa;Santos FC;3;2;Vitória
535054;2025-11-15;Fora;SC Recife;5;1;Vitória
535265;2025-11-20;Fora;Fluminense FC;1;2;Derrota
535275;2025-11-23;Casa;RB Bragantino;3;0;Vitória
535290;2025-11-26;Fora;CA Mineiro;1;1;Empate
535295;2025-12-04;Casa;Ceará SC;1;0;Vitória
535309;2025-12-06;Fora;Mirassol FC;3;3;Empate
